1470
 39.9963 61.5177 45.4464
 41.7185 61.1336 47.4867
 44.2087 60.4142 49.6017
 47.7248 61.6868 51.8501
 50.4063 62.9193 51.3115
 50.5734 62.5499 48.5517
 50.7643 62.6882 48.4503
455 308 12
 1.42256 20.0827 10.7931
 0.344925 28.9309 17.2132
 5.56632 30.5678 17.5946
 10.8024 29.2506 18.9467
 10.9018 28.3071 19.5922
 11.0452 28.4965 19.0715
 11.2698 30.2255 17.7126
 11.5743 32.1083 16.28
 14.4024 34.447 17.1627
 15.924 35.6564 16.1676
 14.7839 34.8859 13.2461
 14.82 34.8338 12.7007
455 381 11
 1.42256 20.0827 10.7931
 2.27888 8.77566 3.26647
 5.60363 4.83002 4.22751
 11.7635 5.42083 3.7231
 15.8496 6.04765 1.35215
 17.6028 6.24072 3.60491
 17.5512 5.79338 5.83133
 16.2916 5.78598 6.0214
 14.6573 5.80049 6.29408
 13.9181 5.77083 6.30527
 13.8944 5.73222 6.28827
456 376 5
 75.857 90.4063 6.57619
 74.3004 90.8205 5.35074
 76.6832 90.9136 5.45305
 78.2559 91.1653 4.51225
 78.3573 91.0435 4.49591
456 122 3
 75.857 90.4063 6.57619
 76.5276 90.4871 6.93957
 76.5531 90.7019 7.10425
457 110 4
 27.6828 95.1948 37.26
 24.8933 97.0736 36.7837
 23.8899 96.9992 36.9144
 23.822 97.0355 36.8908
457 63 3
 27.6828 95.1948 37.26
 29.7263 93.0277 37.9405
 29.9157 92.8502 37.9904
458 318 4
 40.5362 74.2351 27.3886
 43.23 73.8159 27.9502
 44.4881 73.03 28.2818
 44.5022 73.036 28.3273
458 137 4
 40.5362 74.2351 27.3886
 38.3488 74.4476 28.5473
 37.6056 75.0573 30.0127
 37.6001 75.0818 30.0439
459 205 5
 46.6729 95.4274 64.5777
 43.4555 97.2741 64.3395
 42.3832 97.4408 63.7214
 41.4566 96.7276 63.9722
 40.5486 96.4821 63.9949
459 326 5
 46.6729 95.4274 64.5777
 49.6262 95.1502 61.3845
 50.4458 96.1015 58.7944
 50.5006 96.1401 58.7704
 50.5255 96.1625 58.7513
460 376 7
 72.029 87.4204 5.02937
 71.9364 88.6322 4.13153
 72.66 89.8762 4.2219
 74.3004 90.8205 5.35074
 76.6832 90.9136 5.45305
 78.2559 91.1653 4.51225
 78.3573 91.0435 4.49591
460 233 4
 72.029 87.4204 5.02937
 72.8754 85.1205 7.33976
 73.3993 84.269 8.57924
 73.1642 84.5249 8.39449
461 190 12
 72.9697 58.2046 9.47235
 75.4662 55.6444 8.77965
 78.354 53.4341 7.92835
 80.3063 53.0603 7.37209
 81.6365 52.4253 7.41387
 83.5263 50.5478 8.12883
 85.6686 49.1372 8.60552
 85.3828 48.3543 8.43331
 85.0928 47.779 8.3933
 85.054 47.5883 8.22696
