# x,y,z,Mass,SM,GALEX_FUV,GALEX_NUV,Metal,g_minus_r,u_minus_r
3.608189773559570312e+01,2.645393180847167969e+01,9.631095123291015625e+01,1.360582082560000000e+11,1.386025216000000000e+09,-1.605785942077636719e+01,-1.615501976013183594e+01,1.365072093904018402e-02,3.603763580322265625e-01,1.282541275024414062e+00
8.655806732177734375e+01,4.371081924438476562e+01,8.428213500976562500e+01,1.361547755520000000e+11,1.775744384000000000e+09,-1.688051033020019531e+01,-1.692225837707519531e+01,1.201479509472846985e-02,2.679309844970703125e-01,1.067499160766601562e+00
9.964376068115234375e+01,7.130211639404296875e+01,3.580773925781250000e+01,1.362351472640000000e+11,2.211985817600000000e+10,-1.584765720367431641e+01,-1.624397850036621094e+01,2.558445930480957031e-02,5.906658172607421875e-01,1.775512695312500000e+00
8.975454711914062500e+01,4.268773651123046875e+01,9.526619720458984375e+01,1.364661616640000000e+11,1.474694912000000000e+09,-1.680278015136718750e+01,-1.684449386596679688e+01,1.323005557060241699e-02,2.861537933349609375e-01,1.067499160766601562e+00
6.331179141998291016e+00,4.181995391845703125e+01,8.517530822753906250e+01,1.365620572160000000e+11,1.430730368000000000e+09,-1.550406551361083984e+01,-1.568666267395019531e+01,1.364127267152070999e-02,4.372978210449218750e-01,1.473623275756835938e+00
1.267697715759277344e+01,4.807357406616210938e+01,3.563198852539062500e+01,1.365731983360000000e+11,2.287170816000000000e+09,-1.669594764709472656e+01,-1.677163124084472656e+01,1.281613297760486603e-02,2.770137786865234375e-01,1.032453536987304688e+00
8.151495933532714844e+00,5.662147140502929688e+01,5.012688446044921875e+01,1.365990932480000000e+11,3.340018176000000000e+09,-1.623604965209960938e+01,-1.638670921325683594e+01,1.440004725009202957e-02,3.637561798095703125e-01,1.298288345336914062e+00
2.576139259338378906e+01,7.772859191894531250e+01,5.765824508666992188e+01,1.367342530560000000e+11,1.830538368000000000e+09,-1.627956008911132812e+01,-1.634139442443847656e+01,1.386086735874414444e-02,3.744792938232421875e-01,1.199741363525390625e+00
3.404332733154296875e+01,9.479990005493164062e+00,5.118099212646484375e+01,1.368490475520000000e+11,1.878059648000000000e+09,-1.610491371154785156e+01,-1.627791213989257812e+01,1.259746402502059937e-02,3.893089294433593750e-01,1.316242218017578125e+00
8.918608856201171875e+01,6.399056625366210938e+01,1.154579544067382812e+01,1.369597050880000000e+11,1.243257344000000000e+09,-1.662570571899414062e+01,-1.664398956298828125e+01,1.494960021227598190e-02,3.420600891113281250e-01,1.158275604248046875e+00
4.095290374755859375e+01,7.078096008300781250e+01,2.049082565307617188e+01,1.370101514240000000e+11,3.440813824000000000e+09,-1.739293861389160156e+01,-1.741454505920410156e+01,1.597104966640472412e-02,3.211040496826171875e-01,1.115459442138671875e+00
8.692141532897949219e+00,9.697447204589843750e+01,6.495615386962890625e+01,1.371527495680000000e+11,3.487735808000000000e+09,-1.687109756469726562e+01,-1.694595336914062500e+01,1.384835131466388702e-02,3.290805816650390625e-01,1.155858993530273438e+00
3.222674179077148438e+01,2.435758590698242188e+01,4.594052886962890625e+01,1.371748270080000000e+11,1.487370880000000000e+09,-1.746996879577636719e+01,-1.746962928771972656e+01,1.135212555527687073e-02,1.633930206298828125e-01,8.138389587402343750e-01
6.723619079589843750e+01,8.939607238769531250e+01,3.722312545776367188e+01,1.371990835200000000e+11,1.659305984000000000e+09,-1.703089904785156250e+01,-1.709174537658691406e+01,1.318171154707670212e-02,3.127746582031250000e-01,1.141885757446289062e+00
9.819844055175781250e+01,4.513609695434570312e+01,5.242076516151428223e-01,1.373495459840000000e+11,3.943375360000000000e+09,-1.598389720916748047e+01,-1.610250473022460938e+01,1.796327903866767883e-02,4.763927459716796875e-01,1.424379348754882812e+00
5.363122940063476562e+01,3.611389160156250000e+01,3.517001724243164062e+01,1.374363156480000000e+11,2.239427328000000000e+09,-1.598959064483642578e+01,-1.604547309875488281e+01,1.532209385186433792e-02,3.923912048339843750e-01,1.234531402587890625e+00
8.335838317871093750e+01,5.366346359252929688e+01,6.943490028381347656e+00,1.374996234240000000e+11,2.102528128000000000e+09,-1.718259429931640625e+01,-1.719896697998046875e+01,1.472611539065837860e-02,2.786388397216796875e-01,1.033836364746093750e+00
3.927395248413085938e+01,8.176690673828125000e+01,4.041563034057617188e+01,1.375782010880000000e+11,1.373376000000000000e+09,-1.555576038360595703e+01,-1.563617706298828125e+01,1.459674909710884094e-02,4.492740631103515625e-01,1.400140762329101562e+00
8.617066955566406250e+01,9.273259735107421875e+01,5.898668289184570312e+01,1.376117227520000000e+11,2.877350656000000000e+09,-1.726076126098632812e+01,-1.726656532287597656e+01,1.446994300931692123e-02,3.528366088867187500e-01,1.170051574707031250e+00
5.459547805786132812e+01,4.724835586547851562e+01,7.825903320312500000e+01,1.378365603840000000e+11,2.496449792000000000e+09,-1.698315238952636719e+01,-1.712502670288085938e+01,1.075234171003103256e-02,3.234577178955078125e-01,1.175573348999023438e+00
5.005984878540039062e+01,1.481273555755615234e+01,1.016869163513183594e+01,1.378544680960000000e+11,1.741622528000000000e+09,-1.592346477508544922e+01,-1.605904388427734375e+01,1.286039408296346664e-02,3.732242584228515625e-01,1.277709960937500000e+00
1.379260349273681641e+01,9.732635498046875000e+01,5.823088836669921875e+01,1.380620206080000000e+11,1.047803008000000000e+09,-1.597223091125488281e+01,-1.605101203918457031e+01,1.405783463269472122e-02,3.290596008300781250e-01,1.146791458129882812e+00
5.735949707031250000e+01,1.954264450073242188e+01,2.223946189880371094e+01,1.383018659840000000e+11,1.690602880000000000e+09,-1.703957748413085938e+01,-1.703331756591796875e+01,1.159724965691566467e-02,2.920646667480468750e-01,1.069467544555664062e+00
4.008773803710937500e+01,2.739921379089355469e+01,4.661732482910156250e+01,1.383521812480000000e+11,6.372666368000000000e+09,-1.650633430480957031e+01,-1.661779022216796875e+01,1.900180429220199585e-02,4.827232360839843750e-01,1.493282318115234375e+00
6.219544219970703125e+01,5.159897613525390625e+01,9.324061584472656250e+01,1.383706132480000000e+11,2.897712640000000000e+09,-1.680504798889160156e+01,-1.688941001892089844e+01,1.628469862043857574e-02,4.328155517578125000e-01,1.400365829467773438e+00
4.660359191894531250e+01,8.896061706542968750e+01,9.896377563476562500e+00,1.383870627840000000e+11,1.577661184000000000e+09,-1.692593765258789062e+01,-1.698166465759277344e+01,1.344241201877593994e-02,2.774715423583984375e-01,1.077514648437500000e+00
7.538704681396484375e+01,3.085398864746093750e+01,4.016233444213867188e+01,1.384002846720000000e+11,2.865914624000000000e+09,-1.609342575073242188e+01,-1.623207092285156250e+01,1.435086131095886230e-02,4.610271453857421875e-01,1.455236434936523438e+00
7.808633422851562500e+01,6.128873443603515625e+01,7.057788085937500000e+01,1.384246476800000000e+11,1.509623424000000000e+09,-1.720655632019042969e+01,-1.722380065917968750e+01,1.169195212423801422e-02,2.659893035888671875e-01,1.009162902832031250e+00
2.976845741271972656e+01,6.501573944091796875e+01,9.944585800170898438e+00,1.384399175680000000e+11,6.953985536000000000e+09,-1.634197235107421875e+01,-1.656449127197265625e+01,1.573362760245800018e-02,3.345279693603515625e-01,1.181768417358398438e+00
8.141255950927734375e+01,7.491938018798828125e+01,4.422527313232421875e+01,1.385139568640000000e+11,2.658045184000000000e+09,-1.525258922576904297e+01,-1.544518089294433594e+01,1.510920375585556030e-02,4.850673675537109375e-01,1.509487152099609375e+00
5.542116165161132812e+01,3.560147857666015625e+01,2.642327880859375000e+01,1.385433989120000000e+11,1.220248704000000000e+09,-1.592220878601074219e+01,-1.604754638671875000e+01,1.189741026610136032e-02,3.535270690917968750e-01,1.202236175537109375e+00
7.757862854003906250e+01,7.913198089599609375e+01,4.412292480468750000e+01,1.386845470720000000e+11,6.850526208000000000e+09,-1.655441665649414062e+01,-1.664696884155273438e+01,1.900291629135608673e-02,4.870185852050781250e-01,1.520818710327148438e+00
9.285170555114746094e+00,8.680980682373046875e+01,5.448964309692382812e+01,1.387119411200000000e+11,1.181293824000000000e+09,-1.598513793945312500e+01,-1.603641891479492188e+01,1.295099593698978424e-02,4.196262359619140625e-01,1.339971542358398438e+00
7.013627624511718750e+01,2.386938333511352539e+00,3.107814788818359375e+01,1.388534988800000000e+11,4.056289280000000000e+09,-1.617445755004882812e+01,-1.628616333007812500e+01,1.556326542049646378e-02,4.531650543212890625e-01,1.458272933959960938e+00
7.286742401123046875e+01,6.707944488525390625e+01,8.646829223632812500e+01,1.389707919360000000e+11,3.131185408000000000e+09,-1.620225334167480469e+01,-1.632209396362304688e+01,1.431071665138006210e-02,4.123497009277343750e-01,1.351110458374023438e+00
5.778777694702148438e+01,1.732019042968750000e+01,2.230428123474121094e+01,1.389879296000000000e+11,1.152629632000000000e+09,-1.604732322692871094e+01,-1.611307907104492188e+01,1.212657894939184189e-02,3.339309692382812500e-01,1.167432785034179688e+00
1.487821102142333984e+01,2.926520729064941406e+01,6.168677139282226562e+01,1.390278737920000000e+11,2.717219584000000000e+09,-1.673363685607910156e+01,-1.676572036743164062e+01,1.502822618931531906e-02,4.077110290527343750e-01,1.318426132202148438e+00
9.120143890380859375e+01,6.805307769775390625e+01,1.752867317199707031e+01,1.390607564800000000e+11,2.102950528000000000e+09,-1.691446304321289062e+01,-1.697136878967285156e+01,1.476208399981260300e-02,3.682384490966796875e-01,1.268026351928710938e+00
7.459197235107421875e+01,2.774927902221679688e+01,6.325588226318359375e+01,1.390649835520000000e+11,1.751323520000000000e+09,-1.642070007324218750e+01,-1.648745155334472656e+01,1.383010111749172211e-02,3.156509399414062500e-01,1.113107681274414062e+00
1.675340843200683594e+01,3.363118743896484375e+01,5.177468109130859375e+01,1.390929346560000000e+11,3.168560384000000000e+09,-1.586661052703857422e+01,-1.609515380859375000e+01,1.742238551378250122e-02,4.489784240722656250e-01,1.522136688232421875e+00
7.682811737060546875e+01,6.731272125244140625e+01,7.608859252929687500e+01,1.391257026560000000e+11,1.176888448000000000e+09,-1.593491554260253906e+01,-1.605251693725585938e+01,1.426203828305006027e-02,3.032760620117187500e-01,1.128383636474609375e+00
8.686828613281250000e+01,8.171471405029296875e+01,3.357552337646484375e+01,1.392839065600000000e+11,1.992530816000000000e+09,-1.567251014709472656e+01,-1.579977989196777344e+01,1.541712600737810135e-02,4.719486236572265625e-01,1.471181869506835938e+00
6.809355926513671875e+01,4.249657058715820312e+01,7.649354553222656250e+01,1.392909025280000000e+11,1.158742912000000000e+09,-1.740726470947265625e+01,-1.742188644409179688e+01,8.445502258837223053e-03,2.060451507568359375e-01,9.571819305419921875e-01
8.041812896728515625e+01,9.454417419433593750e+01,4.583810424804687500e+01,1.393100718080000000e+11,8.087932416000000000e+09,-1.501823806762695312e+01,-1.543418598175048828e+01,1.889907941222190857e-02,5.753555297851562500e-01,1.742736816406250000e+00
2.242455863952636719e+01,6.550998687744140625e+01,9.299622535705566406e+00,1.393273896960000000e+11,3.006114560000000000e+09,-1.532647132873535156e+01,-1.545204544067382812e+01,1.778451353311538696e-02,4.837322235107421875e-01,1.495967864990234375e+00
