#x,y,z,Mass,SM,GALEX_FUV,GALEX_NUV,SDSS_r,g_minus_r,u_minus_r
23.874456,68.369514,32.069077,37738713088.000000,1701691648.000000,-16.022202,-16.216608,-18.712402,0.348766,1.269304
72.347649,61.988018,87.748840,37914787840.000000,1353058944.000000,-16.471275,-16.494993,-18.292316,0.312452,1.071705
93.108818,57.969887,3.841475,38685884416.000000,1471684736.000000,-16.840498,-16.863577,-18.497534,0.305126,1.072222
81.509331,4.415538,36.687016,38840135680.000000,1139942272.000000,-15.670090,-15.853971,-18.381464,0.274784,1.028822
45.260021,74.997910,37.782722,38990110720.000000,2562913280.000000,-17.427145,-17.447205,-19.052181,0.301838,1.071548
26.556128,9.949467,5.228577,39177392128.000000,3249288448.000000,-15.897773,-16.110752,-18.907551,0.452677,1.474907
88.852226,50.634850,95.558350,39290589184.000000,6699859456.000000,-15.936980,-16.139874,-19.499195,0.490282,1.575089
78.053734,32.421787,50.958454,39693152256.000000,9339484160.000000,-17.081928,-17.124241,-19.666204,0.474520,1.429779
89.156883,87.982506,33.197182,39763017728.000000,1150175872.000000,-15.513434,-15.640534,-18.020130,0.419806,1.401104
90.920105,40.263016,52.402061,39862669312.000000,4051671552.000000,-17.265192,-17.308382,-19.547836,0.339857,1.164749
66.434517,33.462303,60.974277,40405368832.000000,1206180096.000000,-16.217070,-16.254297,-18.233004,0.294725,1.058422
71.249214,43.188602,35.018024,40822231040.000000,2882133248.000000,-16.020658,-16.209629,-18.925785,0.392975,1.275318
60.767632,33.875603,16.308729,41055145984.000000,4278147840.000000,-15.775623,-15.938989,-18.947985,0.437811,1.337585
68.780190,1.478318,1.527904,41716989952.000000,1421039232.000000,-15.469404,-15.564212,-18.182600,0.396509,1.282204
76.408173,90.941856,7.154030,42702118912.000000,3625824256.000000,-16.862396,-17.058329,-19.502987,0.380468,1.356825
72.295143,46.459209,36.188171,43550396416.000000,2950720256.000000,-17.508797,-17.574478,-19.400337,0.261528,1.018892
61.278717,85.721481,50.456051,43551862784.000000,1850745984.000000,-15.582175,-15.779129,-18.445961,0.444235,1.455952
85.414558,42.085598,22.995691,43821162496.000000,2983565056.000000,-15.425681,-15.719110,-18.923252,0.389515,1.297987
47.965527,10.192354,13.477754,44926324736.000000,2550434816.000000,-17.430309,-17.459581,-19.089409,0.255728,0.937225
80.158905,72.350525,12.155043,46206332928.000000,1895750144.000000,-16.767136,-16.821108,-18.708227,0.347649,1.201250
22.423393,61.251022,6.449227,47042007040.000000,3658121728.000000,-16.442986,-16.561974,-19.202591,0.274811,1.000719
78.872940,61.936066,67.945045,47378272256.000000,1300421248.000000,-15.280849,-15.465305,-17.986629,0.431257,1.415607
