#x,y,z,d_per(Mpc),d_long(Mpc),length_fil(Mpc),Mass,SM,GALEX_FUV,GALEX_NUV,SDSS_r,g_minus_r,u_minus_r
82.661560,12.959854,60.917500,1.541212,41.396646,17.909915,90389471232.000000,1099556608.000000,-16.617517,-16.652359,-18.276091,0.328051,1.155018
82.422951,13.927329,63.023403,1.519590,21.210014,17.909915,108078784512.000000,1459242880.000000,-16.204546,-16.213230,-18.160936,0.346834,1.147575
82.493431,14.887672,53.499195,0.211281,189.732232,14.537023,210962169856.000000,4406771200.000000,-17.384827,-17.461348,-19.433294,0.367790,1.252592
82.363869,14.050814,53.735439,1.005115,161.340552,14.537023,372642938880.000000,4696885760.000000,-16.671875,-16.858242,-19.593838,0.410181,1.401951
82.897179,13.731360,59.456635,0.864386,63.208926,17.909915,723620659200.000000,13184471040.000000,-17.499374,-17.656202,-20.398466,0.432970,1.380524
83.685768,13.630605,59.100536,0.557141,61.967775,17.909915,808847212544.000000,26356410368.000000,-17.654827,-17.717897,-20.474327,0.550854,1.659824
82.557755,15.482208,52.180553,0.678703,189.490068,14.537023,1879707746304.000000,36473683968.000000,-18.726290,-18.832409,-21.216484,0.448643,1.416826
83.822021,25.219997,52.517517,0.199489,132.246531,11.825217,128475684864.000000,1328125440.000000,-15.749276,-15.832036,-17.955048,0.407669,1.342783
83.216400,25.178602,52.792454,0.093859,132.246822,22.674369,218056392704.000000,3036856576.000000,-15.369112,-15.542826,-18.527441,0.512899,1.587730
84.132561,25.509544,53.033607,0.975181,132.471052,11.825217,1143088349184.000000,22055700480.000000,-18.447609,-18.478727,-20.698891,0.423616,1.330652
84.255318,24.687246,51.616562,0.095476,100.944435,11.825217,1320885288960.000000,28232118272.000000,-18.731798,-18.864573,-21.245621,0.381233,1.251032
83.523666,83.471848,39.944187,0.988598,187.307810,32.374860,118689136640.000000,1394802432.000000,-16.848894,-16.889284,-18.681412,0.271595,1.024807
84.956482,83.238312,34.189705,0.277104,0.000000,32.374860,372828471296.000000,17106292736.000000,-17.039801,-17.177568,-20.167866,0.568192,1.682594
85.215912,83.217224,34.284782,0.000012,0.000027,23.392019,6987499175936.000000,89418350592.000000,-18.770256,-18.843988,-21.540861,0.501148,1.499704
77.419403,87.234344,45.261219,1.596579,143.188586,21.421251,25341937664.000000,8379982848.000000,-16.517666,-16.723854,-19.672665,0.457630,1.489401
78.467834,88.060219,46.320583,0.323209,173.640588,21.421251,106732871680.000000,5324940288.000000,-17.147198,-17.250528,-19.638653,0.370008,1.222065
78.019104,87.899063,45.978226,0.365114,141.129649,13.343655,284750151680.000000,5583902720.000000,-17.399483,-17.473202,-19.512976,0.405046,1.341383
78.455299,88.064362,46.238148,0.266996,173.640588,21.421251,576262635520.000000,6467995648.000000,-17.390049,-17.470514,-19.840599,0.379017,1.277145
77.411591,87.226082,45.222294,1.560853,143.188586,21.421251,6356194033664.000000,106570883072.000000,-18.633900,-18.787018,-21.810526,0.471025,1.384577
71.415131,32.605373,40.898785,0.264113,105.507257,24.229960,30322960384.000000,1166951296.000000,-16.577623,-16.636496,-18.466215,0.267092,1.036217
73.581375,32.140190,36.458630,0.000040,0.000001,24.229960,37597937664.000000,1056475584.000000,-14.943908,-15.106727,-17.664085,0.450174,1.515350
71.569397,32.360584,40.887085,0.066507,105.574319,24.229960,48387284992.000000,2131243520.000000,-17.124630,-17.179476,-19.045753,0.196522,0.835911
73.895454,31.307631,37.455849,0.668279,37.285458,24.229960,105062391808.000000,2230425600.000000,-15.954637,-16.059593,-18.578461,0.336050,1.144138
73.578133,31.886330,36.412354,0.324651,0.355040,24.229960,375166959616.000000,13274738688.000000,-17.828705,-17.899504,-20.272686,0.438435,1.352190
72.718033,27.114439,48.237957,1.082722,164.985106,24.229960,443950006272.000000,5447075328.000000,-15.717487,-15.902765,-19.051222,0.504595,1.535898
72.130074,32.082817,40.775330,0.794501,106.621826,24.229960,488957542400.000000,5556967936.000000,-16.776703,-16.879332,-19.254665,0.418739,1.333748
74.058601,31.549643,37.713707,0.839760,37.285458,24.229960,1933770489856.000000,49215115264.000000,-19.144819,-19.234615,-21.581758,0.480213,1.452583
73.586655,32.327385,36.440655,0.188117,0.000000,24.229960,2829704495104.000000,61391020032.000000,-16.538271,-16.838428,-21.235224,0.743410,2.263107
71.488358,32.375877,40.863102,0.042972,105.507257,24.229960,4311936401408.000000,68723851264.000000,-18.355816,-18.484138,-21.390196,0.431320,1.321980
48.904720,37.971539,97.021950,0.027608,96.406991,21.445881,32138745856.000000,1364070272.000000,-16.332518,-16.369957,-18.366638,0.295721,1.016726
48.780201,38.073193,96.927643,0.016672,96.413001,6.053213,53310590976.000000,1128912128.000000,-16.398346,-16.411787,-18.297583,0.252968,0.919430
53.989746,40.777729,94.860359,0.821853,228.060993,11.508708,103961657344.000000,1120834304.000000,-16.850901,-16.885141,-18.452761,0.266060,1.014929
53.428017,40.204510,96.364494,0.052303,185.441293,21.445881,128891060224.000000,4873701376.000000,-16.457050,-16.551649,-19.149103,0.436539,1.402519
53.914513,40.084721,96.751755,0.413848,227.813946,21.445881,307782680576.000000,2689280768.000000,-16.623617,-16.712767,-18.906153,0.348707,1.183176
