#field_value,log_field_value,mass,RA,DEC,Z
67.087,4.206,1,192.56,26.776,0
3.5035,1.2538,1,183.68,24.981,0
106.5,4.6681,1,183.67,23.853,0
111.05,4.71,1,180.79,16.459,0
17.609,2.8684,1,180.71,16.593,0
13.427,2.5972,1,180.84,16.51,0
21.659,3.0754,1,180.86,16.486,0
16.911,2.8279,1,180.46,16.53,0
4.1806,1.4305,1,180.07,16.535,0
14.369,2.665,1,179.99,17.896,0
100.8,4.6132,1,180.22,17.895,0
3.9709,1.379,1,180.15,18.02,0
41.681,3.7301,1,180.43,17.899,0
60.92,4.1096,1,180.52,17.913,0
15.178,2.7199,1,181.86,17.955,0
38.012,3.6379,1,182.36,17.961,0
9.5033,2.2516,1,182.17,17.957,0
10.241,2.3264,1,181.27,15.344,0
7.6246,2.0314,1,200.91,29.288,0
7.1383,1.9655,1,194.61,32.722,0
39.239,3.6697,1,194.56,32.673,0
3.0205,1.1054,1,183.93,34.614,0
12.296,2.5093,1,176.74,32.654,0
7.4417,2.0071,1,177.78,32.781,0
17.684,2.8727,1,174.81,15.038,0
12.009,2.4857,1,174.81,14.992,0
20.921,3.0407,1,178.04,15.212,0
1095.7,6.9991,1,181.54,32.892,0
36.153,3.5878,1,181.84,33.08,0
4.6928,1.546,1,197.83,29.794,0
18.309,2.9074,1,197.7,29.71,0
276.95,5.6238,1,197.76,29.637,0
12.319,2.5112,1,198.29,29.98,0
29.862,3.3966,1,198.38,30.149,0
58.42,4.0677,1,181.79,33.005,0
2.0209,0.70356,1,196.08,30.284,0
191.7,5.2559,1,196.52,29.71,0
7.0924,1.959,1,195.92,29.818,0
51.11,3.934,1,181.52,32.893,0
10.424,2.3441,1,196.29,29.881,0
11.372,2.4312,1,187.41,32.913,0
9.8945,2.292,1,188.16,32.882,0
109.1,4.6922,1,188.23,32.911,0
4.5353,1.5119,1,188.36,32.975,0
2.4699,0.90416,1,204.41,28.803,0
1.8915,0.63735,1,191.76,32.871,0
15.787,2.7592,1,196.46,29.81,0
21.52,3.069,1,192.33,34.623,0
23.064,3.1383,1,201.69,31.944,0
8.468,2.1363,1,202.26,31.873,0
64.224,4.1624,1,202.03,31.932,0
6.3954,1.8556,1,200.86,32.103,0
9.3336,2.2336,1,194.11,30.433,0
14.436,2.6698,1,193.7,30.545,0
6.6129,1.889,1,193.5,32.655,0
5.9287,1.7798,1,193.43,32.704,0
8.7907,2.1737,1,182.73,32.929,0
10.943,2.3927,1,181.24,32.922,0
46.28,3.8347,1,176.11,32.677,0
35.009,3.5556,1,176.34,32.722,0
5.503,1.7053,1,185.01,33.029,0
9.6321,2.2651,1,183.16,34.689,0
2.0853,0.7349,1,165.79,15.141,0
0.68152,-0.38343,1,171.5,15.504,0
19.295,2.9598,1,173.75,15.685,0
75.319,4.3217,1,173.66,15.622,0
58.078,4.0618,1,167.86,28.353,0
61.059,4.1118,1,173.6,15.667,0
1.6272,0.48685,1,173.59,15.66,0
4.7554,1.5593,1,173.58,15.596,0
9.5589,2.2575,1,174.05,15.733,0
5.5767,1.7186,1,177.87,15.77,0
14.007,2.6396,1,195,29.904,0
2.1181,0.7505,1,179.21,15.248,0
11.362,2.4303,1,178.3,15.114,0
11.958,2.4814,1,178.36,15.308,0
