#plate,mjd,fiberID,RA,Dec,z,zErr
2511,53882,414,176.47632,22.455563,0.02274466,1.120174E-05
2511,53882,526,177.76782,22.516007,0.02609489,1.06344E-05
2004,53737,421,182.43341,32.657839,0.03145896,2.406147E-05
2513,54141,558,179.13691,22.461652,0.0219314,1.165722E-05
2595,54207,608,181.76435,18.531776,0.02397824,9.552491E-06
2597,54231,377,184.55027,18.09298,0.02526154,7.908192E-06
2597,54231,537,185.36504,18.106708,0.03073555,7.059366E-06
2004,53737,430,182.42225,32.476306,0.02435531,7.534493E-06
2604,54484,514,198.98991,17.164961,0.02346042,7.265317E-06
2606,54154,386,201.70107,16.902687,0.02779062,1.681543E-05
2606,54154,393,201.61504,16.980446,0.02719893,1.438678E-05
2606,54154,397,201.61985,16.957459,0.02418811,8.52932E-06
2609,54476,24,183.743,19.516414,0.02472112,9.828865E-06
2609,54476,46,182.83771,18.599745,0.02532822,1.226463E-05
2609,54476,64,183.34136,19.499226,0.02290313,1.086597E-05
2609,54476,169,182.4909,19.354831,0.02401707,2.589537E-05
2004,53737,433,182.26488,32.668701,0.02393564,6.761231E-06
2609,54476,309,181.10689,19.381403,0.02188887,1.154217E-05
2004,53737,497,182.82165,32.593787,0.02324092,1.487054E-05
2610,54476,69,185.31881,19.498806,0.03044385,1.585181E-05
2610,54476,265,183.17411,19.43874,0.02600249,6.165666E-06
2004,53737,501,183.2656,32.613405,0.0251234,5.601063E-06
2004,53737,502,183.33654,32.674176,0.03059386,2.256636E-05
2611,54477,128,185.68287,18.548552,0.02166688,1.29529E-05
1975,53734,383,190.14115,32.580791,0.0229166,6.06505E-06
2029,53819,384,195.68598,32.085039,0.02438324,1.024617E-05
2214,53794,503,168.88907,26.968738,0.03227149,1.357525E-05
2214,53794,513,168.91635,26.911683,0.02683805,1.411972E-05
2606,54154,477,202.42837,16.768435,0.02241978,1.589492E-05
2606,54154,498,202.65157,16.84014,0.03040752,6.291458E-06
2612,54480,25,188.69305,19.423292,0.03093842,1.556929E-05
2357,53793,618,165.14756,26.509534,0.03064821,6.925936E-06
2643,54208,493,180.46963,22.531423,0.02226674,9.694147E-06
2095,53474,504,181.19842,32.496776,0.02574309,9.604222E-06
2643,54208,499,180.39693,22.592861,0.02283244,6.06686E-06
2095,53474,506,181.15037,32.597362,0.02511423,1.006002E-05
1994,53845,400,193.24181,32.412314,0.02263894,1.277702E-05
2504,54179,434,173.1384,22.115852,0.02199729,1.40818E-05
2504,54179,475,173.37296,22.111558,0.02194398,1.37012E-05
2504,54179,512,173.91162,22.315715,0.02374539,9.747696E-06
2604,54484,23,199.88919,16.986577,0.02365268,1.169958E-05
2614,54481,109,191.96132,19.384184,0.02204748,5.590043E-06
1975,53734,629,192.49488,32.388679,0.02302076,1.198638E-05
2643,54208,353,179.60106,22.466642,0.02604132,8.783171E-06
2488,54149,551,166.32911,21.62011,0.02146066,7.383947E-06
2214,53794,341,167.23192,26.610507,0.02191737,1.57994E-05
2214,53794,440,167.8803,26.860733,0.03243694,1.888427E-05
2216,53795,345,169.16208,26.985831,0.02326687,1.034885E-05
2216,53795,355,169.28196,26.90214,0.02645121,1.621694E-05
2598,54232,448,187.14562,18.590173,0.02354969,1.271719E-05
2601,54144,22,193.23265,17.454294,0.02219778,6.726944E-06
1697,53142,577,199.25019,12.862433,0.02525461,2.353428E-05
2604,54484,191,198.4591,17.076235,0.02256428,1.215297E-05
2604,54484,436,198.22473,17.153816,0.02215903,6.590295E-06
2604,54484,487,198.73864,17.225155,0.02309708,7.147988E-06
2604,54484,488,198.7199,17.232513,0.02401312,1.320149E-05
2605,54484,74,201.67018,16.873814,0.02748253,8.071449E-06
2605,54484,158,200.93436,17.027481,0.02420398,1.05178E-05
2104,53852,527,199.5465,31.781536,0.02550501,9.317742E-06
2104,53852,538,199.61901,31.777173,0.03238949,9.83619E-06
2596,54207,461,183.04944,18.094021,0.02506156,5.411223E-06
2596,54207,467,183.12028,17.972174,0.02256631,9.641883E-06
2643,54208,424,179.90273,22.442396,0.02287731,6.175849E-06
2643,54208,437,179.87867,22.530777,0.02291746,1.086023E-05
2643,54208,480,180.19678,22.434816,0.02221518,8.942089E-06
5969,56069,312,180.30244,22.617167,0.02774996,2.116831E-05
2492,54178,484,168.11224,21.779812,0.02944374,1.542264E-05
2606,54154,573,203.48898,17.713965,0.01583675,2.242625E-05
2606,54154,604,203.61689,17.756104,0.01496691,1.306829E-05
2606,54154,607,203.6547,17.721514,0.02806403,7.703821E-06
2612,54480,252,186.83595,18.715468,0.02346156,1.089922E-05
2613,54481,68,190.61886,19.466278,0.02773436,6.920134E-06
5867,56034,321,198.98657,17.165043,0.02386895,2.589328E-05
1766,53468,486,184.20808,15.167044,0.02629628,6.12547E-06
1771,53498,145,195.2003,14.481783,0.02920176,6.856338E-06
2213,53792,52,168.29727,28.012134,0.03193816,7.022374E-06
2213,53792,54,168.27718,28.053598,0.02145308,2.254152E-05
2009,53904,525,197.8583,30.619605,0.02068078,8.038154E-06
2009,53904,527,197.82499,30.488109,0.02824511,1.333449E-05
2009,53904,529,197.85392,30.598901,0.02821096,1.574158E-05
2009,53904,532,197.76902,30.48298,0.02099151,7.579743E-06
2030,53499,52,168.71817,36.4213,0.02407215,5.432036E-06
2030,53499,59,168.85223,36.500659,0.02460031,1.370377E-05
2030,53499,68,169.09155,36.52424,0.02465314,5.301737E-06
2030,53499,101,168.79132,36.584753,0.02495926,1.541725E-05
2030,53499,105,168.78035,36.539987,0.02454037,1.023944E-05
2030,53499,117,168.81158,36.568094,0.02514553,1.387697E-05
2034,53466,533,167.36655,36.242988,0.02513821,7.133629E-06
2034,53466,538,167.18658,36.309299,0.02726338,1.636935E-05
2034,53466,539,167.11517,36.206654,0.02799705,1.607111E-05
2233,53845,111,186.95976,26.993526,0.02378273,8.024159E-06
1769,53502,56,190.57933,14.108112,0.02662004,6.057071E-06
1770,53171,92,192.84722,14.081389,0.02190534,9.148975E-06
2224,53815,135,178.658,28.977662,0.0281612,8.298091E-06
2225,53729,95,180.40449,28.968307,0.02815077,5.729224E-06
2225,53729,283,179.22933,28.846107,0.02278638,7.15437E-06
2225,53729,297,179.2926,28.887111,0.02151504,1.169413E-05
2230,53799,4,184.78891,28.976452,0.02622448,1.391123E-05
2230,53799,16,184.8461,28.989715,0.02583228,2.284061E-05
1772,53089,268,196.48142,13.98466,0.02898011,9.832316E-06
2002,53471,525,200.23036,30.186998,0.03086742,7.660111E-06
2002,53471,565,200.65166,30.317,0.02346887,6.557071E-06
2230,53799,19,184.84559,29.024059,0.0253625,2.453402E-05
2230,53799,98,183.85849,29.113393,0.03036799,8.958818E-06
2230,53799,126,183.77891,29.019393,0.02478333,7.851746E-06
2232,53827,23,186.66368,29.63301,0.02208343,7.624985E-06
2232,53827,66,186.44862,29.66297,0.0303882,1.137509E-05
2232,53827,99,185.5178,29.068552,0.02696168,9.417901E-06
2233,53845,26,187.2859,26.960352,0.02841811,7.886442E-06
2234,53823,116,188.43364,29.628375,0.02657199,9.413728E-06
2234,53823,120,188.17905,29.712392,0.02695457,1.299195E-05
2234,53823,126,187.71873,28.971971,0.02672977,9.771519E-06
2234,53823,296,186.78649,28.956533,0.02541215,1.303054E-05
2234,53823,310,186.3565,29.738446,0.02698117,8.472289E-06
2034,53466,413,166.53637,36.180688,0.0246391,1.605824E-05
2235,53847,62,189.05365,26.941451,0.0245865,9.3747E-06
2235,53847,65,189.014,26.987354,0.03135134,1.242264E-05
2235,53847,66,189.09411,26.93681,0.0237337,8.440436E-06
2235,53847,101,188.91843,26.929298,0.02565078,1.837173E-05
2037,53446,281,169.59685,36.509195,0.025015,8.580264E-06
2037,53446,294,169.23386,36.658442,0.02528356,1.165279E-05
2037,53446,298,169.72792,36.674326,0.02499871,1.05188E-05
2235,53847,104,188.92667,26.909134,0.02635066,1.365566E-05
2235,53847,105,188.96937,26.992136,0.02603421,9.797878E-06
2235,53847,112,188.78095,26.90929,0.02270123,2.078694E-05
2235,53847,115,188.9783,26.818665,0.02387565,4.031332E-05
2235,53847,143,188.60701,26.935227,0.02334324,6.203949E-06
2091,53447,44,165.65735,36.055979,0.0320598,6.551756E-06
2094,53851,283,204.22995,29.801003,0.02554442,1.058848E-05
2500,54178,520,172.39292,21.725775,0.03261907,9.422518E-06
2111,53467,346,168.8966,36.509145,0.02492053,9.676231E-06
2111,53467,349,168.78136,36.404896,0.02396213,8.464272E-06
2111,53467,382,168.9296,36.554205,0.0253758,1.530892E-05
2113,53468,558,172.58143,36.925708,0.02494664,1.116924E-05
2235,53847,158,188.7494,26.88412,0.02532806,1.766302E-05
1773,53112,259,198.4608,13.768173,0.02546142,1.348037E-05
2236,53729,449,189.55534,28.937016,0.02436795,1.017684E-05
2236,53729,458,189.56925,28.88262,0.02551614,7.414352E-06
1768,53442,153,188.14209,14.579545,0.0238794,5.49758E-06
1768,53442,154,188.1707,14.694833,0.02408294,8.824655E-06
1770,53171,138,192.56935,14.073193,0.02744527,9.655534E-06
1771,53498,75,195.83844,14.37751,0.02132934,7.756299E-06
1771,53498,92,195.08564,14.007139,0.0291002,5.557597E-06
2237,53828,219,189.83578,28.913154,0.02492021,9.614186E-06
2237,53828,265,189.20938,29.555357,0.02606848,6.022204E-06
1772,53089,65,197.80819,13.942476,0.02250536,9.572629E-06
1772,53089,145,197.49005,13.974971,0.02679961,9.566177E-06
2211,53786,82,166.11974,27.732375,0.02912281,1.405894E-05
2215,53793,5,170.10169,28.29817,0.03283634,7.549506E-06
2215,53793,82,169.57417,28.226047,0.03175506,8.440439E-06
