,x,y,z,SM,Metal,u_minus_r,g_minus_r
3234,0.0194374881685,6054721536.0,0.700704574585,2.07606124878,6.86040115356,40.2881164551,84.0561141968
3280,0.0164769366384,1599167616.0,0.555654525757,1.66115570068,27.8973140717,78.9071884155,60.2249603271
3292,0.0152205266058,2939325696.0,0.727384567261,2.26323986053,66.7944564819,31.0387744904,23.6756153107
3306,0.018049094826,11397918720.0,0.739696502686,2.31533622742,88.1853713989,49.7720603943,4.54354524612
3312,0.0133211817592,1000832704.0,0.410509109497,1.29495048523,46.672706604,73.8374252319,39.2192649841
3333,0.0135424826294,2966190592.0,0.348783493042,1.27895927429,32.4216041565,61.6771774292,62.0217857361
3334,0.0143295256421,3332226048.0,0.191360473633,0.882076263428,57.9917755127,41.5208778381,38.3172187805
3336,0.0110881431028,3486670336.0,0.327157974243,1.1862449646,9.09464740753,72.0279312134,82.6213989258
3364,0.0211890637875,18550167552.0,0.769569396973,2.4047203064,88.0172958374,50.9807128906,4.59218215942
3375,0.0180337205529,7742597632.0,0.737985610962,2.30933380127,87.9599685669,49.6644363403,4.88455629349
3379,0.0139391832054,1583379456.0,0.436347961426,1.42115211487,58.8741035461,76.0638046265,32.0699958801
3398,0.0141514362767,1213059200.0,0.361282348633,1.23293113708,58.8595848083,84.0650405884,24.4976902008
3402,0.0174912437797,3117249280.0,0.577548980713,1.78198051453,83.4422531128,45.6229095459,8.10477256775
3418,0.0156184146181,3244761344.0,0.412900924683,1.38737106323,37.6309738159,88.689239502,43.6623649597
3421,0.0159335751086,4022914048.0,0.240715026855,0.956813812256,34.5933990479,34.4126701355,58.5217895508
3422,0.0111650209874,3282241280.0,0.651433944702,2.09047698975,73.5700912476,28.4807815552,27.940279007
3461,0.0154215022922,16111440896.0,0.739351272583,2.31702804565,87.5610809326,51.1507606506,4.29718923569
3466,0.0134692853317,1564051072.0,0.402931213379,1.42238616943,58.0232543945,85.0906143188,24.6163902283
3472,0.0152137409896,2535496448.0,0.371965408325,1.28783607483,88.9243164062,46.7419929504,7.57368564606
3479,0.0160379968584,2196107008.0,0.661155700684,2.02307510376,67.323135376,30.7238025665,24.4774417877
3496,0.0128426104784,1129752960.0,0.66114616394,2.10325050354,54.9328117371,38.6979179382,38.0283966064
3510,0.0164780020714,2523395840.0,0.726779937744,2.24573040009,58.0638237,41.1296310425,39.0623931885
3528,0.0227201841772,17411252224.0,0.767595291138,2.40498352051,58.2895965576,41.7473335266,38.5585289001
3554,0.0140984617174,1515266944.0,0.286455154419,1.03084373474,60.5075721741,30.5065345764,32.0343399048
3568,0.015143705532,3952297472.0,0.363508224487,1.23359107971,55.8932266235,80.3114700317,33.2341194153
3577,0.0216675233096,29633603584.0,0.772090911865,2.42699813843,2.53349590302,63.0667037964,89.4768218994
3582,0.0142251094803,1113030784.0,0.396524429321,1.2672958374,83.6762466431,40.6501731873,9.38362312317
3597,0.0190007593483,4806949376.0,0.547695159912,1.64951896667,0.869371235371,59.4564666748,90.6086044312
3598,0.026178881526,30885083136.0,0.459489822388,1.4170589447,14.6866359711,78.6365585327,77.3324813843
3608,0.0170961003751,6838193664.0,0.703950881958,2.19373703003,2.44667124748,62.9655380249,88.8656158447
3621,0.0107269575819,1214220544.0,0.444053649902,1.50675964355,76.5466995239,94.9031829834,6.93836593628
3624,0.0118874534965,2389670144.0,0.309524536133,1.11731529236,47.0728340149,31.6519985199,44.362953186
3638,0.0161320865154,5518792704.0,0.308721542358,1.0883769989,6.87039518356,40.4299278259,83.3868408203
3662,0.0217728521675,13831113728.0,0.753807067871,2.35661125183,85.099609375,47.127822876,7.66361522675
3663,0.0163829308003,7025502720.0,0.411520004272,1.3537197113,27.805305481,79.0897521973,60.1920585632
3680,0.0144647462294,2864845568.0,0.345447540283,1.13201141357,34.5461959839,34.6656074524,58.4737205505
3685,0.021596306935,13203961856.0,0.651788711548,1.98096656799,92.7954559326,57.0043563843,1.12175261974
3686,0.0148513298482,1578539776.0,0.520683288574,1.65335464478,1.03334987164,42.8263168335,96.4411849976
3690,0.0148754203692,5337376768.0,0.283546447754,1.05522727966,2.86965465546,19.0186729431,90.2360610962
3697,0.0141522735357,1572283008.0,0.466049194336,1.57065391541,57.2112312317,92.4246063232,25.9743709564
3702,0.017257463187,2625601280.0,0.620237350464,1.88986968994,50.5782279968,35.7721290588,42.0612678528
3713,0.0158089902252,1934967936.0,0.522422790527,1.57718658447,89.277015686,46.7618103027,7.28448152542
3723,0.0133085781708,1276963712.0,0.480381011963,1.52133560181,75.5864715576,95.1583786011,6.2517991066
3732,0.0146118737757,2848936192.0,0.316915512085,1.18109321594,59.4667549133,83.3809356689,24.3143634796
3755,0.0233455579728,21107458048.0,0.773921966553,2.42295074463,88.1128311157,50.3261413574,4.56312990189
3757,0.0173212271184,2737453824.0,0.65856552124,2.02562332153,98.0948028564,45.0301856995,0.592199146748
3767,0.0159618444741,5276888064.0,0.492303848267,1.51998710632,6.0256729126,40.1877174377,86.2076568604
3782,0.0126847494394,2293650688.0,0.406566619873,1.35092926025,4.72116422653,65.1223907471,90.0191268921
3794,0.012936537154,2453422848.0,0.181638717651,0.858695983887,36.5382957458,16.7418308258,56.5232849121
3811,0.0196285136044,10609156096.0,0.371490478516,1.22418403625,87.0110778809,23.737329483,10.4392290115
3818,0.0131774507463,1739718656.0,0.544532775879,1.7301940918,96.4537811279,44.6375961304,1.39934706688
3819,0.0155377238989,1119271424.0,0.436471939087,1.29676246643,8.23198413849,32.2466087341,89.2080841064
3827,0.0185666326433,7096706560.0,0.410104751587,1.36195755005,37.9699630737,88.171081543,43.8063087463
3828,0.0151143074036,1676151808.0,0.732458114624,2.27409076691,84.9728622437,46.2739677429,9.82958602905
3831,0.00888849887997,1012881536.0,0.313314437866,1.16474533081,8.70838260651,71.6639938354,83.371711731
3838,0.0217506103218,12308046848.0,0.750972747803,2.35919570923,7.04827070236,39.4674949646,83.1952896118
3845,0.00911107379943,1561440640.0,0.32487487793,1.3051700592,30.1594963074,37.0025444031,64.3329391479
3847,0.0124590843916,3457582080.0,0.368518829346,1.31485748291,73.4303359985,29.0542583466,26.8184967041
3849,0.0116639379412,1152456192.0,0.404510498047,1.36322593689,91.1146850586,8.24977874756,9.72729301453
3850,0.0141699854285,1721603456.0,0.453315734863,1.43119239807,77.7173309326,96.003326416,7.54553365707
3865,0.014613032341,1157263616.0,0.550428390503,1.7855682373,23.1323928833,26.770986557,76.7431488037
3884,0.0103138778359,1198227968.0,0.385126113892,1.29979705811,85.0643768311,48.5822296143,6.16003799438
3912,0.0150996316224,1524470656.0,0.46636390686,1.49035263062,0.300578474998,4.17659568787,97.6930465698
3915,0.0267998166382,40946225152.0,0.594814300537,1.69575309753,50.2842674255,35.3127822876,41.6389045715
3936,0.0120941214263,1818009472.0,0.339305877686,1.22823524475,58.5085449219,38.3923377991,36.2542877197
3958,0.0225345063955,28434305024.0,0.786231994629,2.45470809937,88.012046814,50.7109107971,4.44883680344
3965,0.0103531936184,1224451712.0,0.329278945923,1.18428039551,40.5752487183,60.3234672546,46.0357704163
3969,0.0128742353991,1152804864.0,0.398386001587,1.32854270935,84.835395813,42.4374656677,5.33969974518
3970,0.0120109785348,1156036352.0,0.489994049072,1.46657562256,6.38196659088,68.5210266113,86.7292556763
3976,0.0180409383029,6457044992.0,0.458248138428,1.4514541626,57.9646110535,86.4245605469,23.7442646027
4013,0.0160991027951,2970584576.0,0.5237159729,1.61248207092,49.6564598083,33.5743217468,42.6566352844
4020,0.0160354394466,2662821120.0,0.404783248901,1.37380599976,0.997324049473,42.5704917908,96.1024551392
4028,0.0154182761908,1198819200.0,0.577564239502,1.69037246704,2.43137764931,10.0568008423,93.0990371704
4043,0.0123753687367,1014625088.0,0.316740036011,1.09330749512,41.4961662292,72.8842773438,43.7563476562
4055,0.0212542098016,10034081792.0,0.588237762451,1.80595016479,83.9550476074,46.6741676331,8.58124065399
4058,0.0145871313289,2168320256.0,0.445407867432,1.40315437317,89.996383667,6.93316650391,11.0535573959
4074,0.0156358797103,3930437632.0,0.664169311523,2.11532592773,73.7689285278,28.6277332306,27.0382289886
4079,0.0157056283206,1120445312.0,0.518842697144,1.66033363342,84.476234436,26.2454738617,9.95232582092
