,Metal,SM,g_minus_r,u_minus_r,x,y,z
9270,0.014114221558,39368773632.0,0.362945556641,1.21590232849,61.1644287109,33.1128997803,20.3120822906
9279,0.0135156074539,2553504512.0,0.355680465698,1.28450202942,12.7972793579,50.7257843018,32.0670661926
9296,0.0168949756771,4078924544.0,0.398994445801,1.2267665863,64.7366790771,4.70301103592,24.4519252777
9301,0.0157754682004,7925082624.0,0.40191078186,1.28530883789,25.2340087891,90.8477783203,12.7209615707
9303,0.0178727898747,3792914688.0,0.482009887695,1.53556251526,24.415348053,89.6838912964,17.9193992615
9305,0.0135367522016,3418455808.0,0.290872573853,1.05282783508,49.5081863403,21.7325687408,32.4568634033
9311,0.014537232928,4763674624.0,0.263034820557,0.986686706543,50.1593055725,83.5933074951,10.7983407974
9313,0.0172336325049,2983892736.0,0.446502685547,1.37741088867,0.781604766846,29.3538818359,46.6788406372
9339,0.011239358224,1124518784.0,0.264995574951,1.00960731506,5.28441333771,55.3850135803,33.5106315613
9348,0.0159650743008,3418790144.0,0.468984603882,1.5210647583,49.3051834106,18.833108902,32.8302230835
9383,0.0173542499542,3159699712.0,0.454233169556,1.43437957764,40.7660293579,87.5036697388,7.21532297134
9420,0.0145855527371,4490677760.0,0.26681137085,0.984605789185,67.0685424805,24.984079361,22.9969902039
9424,0.0170087367296,6073371648.0,0.467454910278,1.45073509216,30.3829631805,66.4623031616,16.1018619537
9428,0.0161892380565,3609857280.0,0.48240852356,1.44763374329,92.198059082,42.7532196045,5.13514041901
9482,0.017069613561,4006225664.0,0.380346298218,1.2627658844,9.07745552063,74.3786697388,22.828207016
9484,0.0163237825036,4550645760.0,0.42174911499,1.31976318359,36.0766296387,0.612209975719,36.8199920654
9489,0.0173130258918,6841419264.0,0.35821723938,1.21049690247,32.3958854675,68.131362915,19.7195053101
9522,0.0160838346928,2973896448.0,0.360347747803,1.22735595703,90.9113235474,53.61901474,5.17119884491
9537,0.0118305906653,2638920448.0,0.282211303711,1.05361366272,59.1539077759,16.9145679474,23.546289444
9560,0.0108164353296,3571391744.0,0.101472854614,0.636270523071,17.9981460571,74.4067840576,21.1295967102
9583,0.0159628149122,4407131136.0,0.292659759521,1.04413414001,11.8296918869,49.453742981,35.9565658569
9585,0.0174612924457,5169953280.0,0.397638320923,1.31212615967,84.01953125,48.8968734741,4.36359834671
9598,0.0184965394437,5605406208.0,0.620670318604,1.79126167297,69.9145584106,87.155921936,0.160088226199
9603,0.0176176261157,5530675712.0,0.389957427979,1.26574134827,59.9729728699,24.103685379,23.6001243591
9607,0.0149762341753,3856542976.0,0.471223831177,1.46435165405,5.97637796402,2.01838850975,50.7870407104
9610,0.0172850340605,7141988352.0,0.430082321167,1.28972816467,58.6071434021,45.1008300781,21.2580718994
9611,0.0208442490548,32002476032.0,0.689348220825,2.08691215515,88.4506378174,50.5309143066,3.64860606194
9625,0.0150909405202,2549435904.0,0.431188583374,1.39926147461,65.380065918,97.9485015869,0.18282045424
9635,0.0195195432752,6572328448.0,0.55809211731,1.65813064575,82.0725402832,34.4823913574,8.21915721893
9656,0.0174332689494,4686926336.0,0.459201812744,1.45781707764,10.9918746948,77.1385116577,26.9263916016
9657,0.0194812901318,14637752320.0,0.459175109863,1.40414810181,97.7741165161,45.3113594055,0.907109200954
9697,0.0184510238469,6645270016.0,0.468446731567,1.46608924866,0.893971025944,12.4968519211,50.2965888977
9702,0.0190449226648,6315885056.0,0.542919158936,1.69861412048,98.1217880249,0.169722497463,16.3622188568
9708,0.0170592945069,42154913792.0,0.745435714722,2.31022834778,92.4899520874,57.0318222046,1.2520455122
9714,0.0250284671783,50563510272.0,0.78796005249,2.46110343933,84.8924865723,47.476764679,8.75044345856
9715,0.0152222309262,3510623488.0,0.279220581055,1.0513343811,91.3910980225,10.7375030518,15.6451292038
9728,0.0203827060759,7773940736.0,0.512748718262,1.51921463013,4.16474103928,30.0914402008,45.9536705017
9744,0.0164266694337,3590395136.0,0.429195404053,1.29347801208,4.12003517151,73.6135177612,30.490436554
9762,0.0169852953404,3443179520.0,0.362405776978,1.16825294495,28.4204101562,71.9775695801,16.4702262878
9770,0.017556797713,10575328256.0,0.366561889648,1.23142814636,2.24626612663,25.6876888275,46.3913841248
9775,0.0148598589003,4371387904.0,0.34641456604,1.24411201477,60.4586334229,57.6155014038,12.8388748169
9781,0.0161882471293,4100854272.0,0.594179153442,1.83164978027,31.4310512543,44.8107948303,27.5492687225
9787,0.0158480536193,6962415104.0,0.507659912109,1.57747650146,85.4764022827,49.6506729126,9.99126338959
9801,0.015225158073,3224668416.0,0.554389953613,1.71121788025,6.74183177948,33.3049316406,36.5864562988
9837,0.0145256109536,3523100928.0,0.419374465942,1.38193511963,80.4120483398,34.3820381165,10.2060728073
9839,0.0183284375817,8384296960.0,0.702974319458,2.11542320251,8.79880428314,57.1809768677,32.82213974
9871,0.0143441595137,3633157888.0,0.395721435547,1.3150177002,36.202129364,97.3837432861,7.81700849533
9878,0.0195037610829,4827570688.0,0.566619873047,1.70634078979,45.5845489502,84.9344024658,6.59368515015
9885,0.0187105815858,10197685248.0,0.393766403198,1.25949668884,83.6052703857,48.4095840454,7.92818117142
9888,0.0186160840094,6292737024.0,0.475032806396,1.49622154236,74.2041931152,35.4300765991,16.9253826141
9898,0.0180396325886,10621715456.0,0.509941101074,1.57991981506,83.3700866699,45.2740974426,8.07417297363
9930,0.0171311534941,4792877568.0,0.357683181763,1.21971130371,9.35604095459,78.4365844727,21.5419826508
9935,0.0210835561156,13789930496.0,0.584562301636,1.71786880493,59.9208221436,32.7713890076,20.2917308807
9942,0.0134075060487,5344117760.0,0.31755065918,1.19308280945,40.0502128601,70.9430847168,15.9643754959
10008,0.0164526794106,7135574016.0,0.36833190918,1.24231910706,32.8362197876,96.4582672119,8.25471782684
10034,0.016669139266,5332280832.0,0.279296875,1.03067779541,54.6641044617,49.4396400452,17.4087657928
10045,0.0158808603883,6179582464.0,0.378301620483,1.2640171051,76.2880096436,37.7131652832,14.8290328979
10049,0.0167356561869,4634455552.0,0.475126266479,1.52335166931,72.6465530396,70.6541519165,3.22545742989
10053,0.0173900946975,6636454400.0,0.653057098389,2.0092124939,67.2260971069,38.1936416626,20.5959739685
